"sim" "time" "unit" "par_set"
1 0.1204709 "mins" "params_EndSize0d1Carring_competition_0d1"
2 0.1011256 "mins" "params_EndSize0d1Carring_competition_0d1"
3 0.1467685 "mins" "params_EndSize0d1Carring_competition_0d1"
4 0.08687491 "mins" "params_EndSize0d1Carring_competition_0d1"
5 0.1278047 "mins" "params_EndSize0d1Carring_competition_0d1"
6 0.1218377 "mins" "params_EndSize0d1Carring_competition_0d1"
7 0.1236956 "mins" "params_EndSize0d1Carring_competition_0d1"
8 0.1083753 "mins" "params_EndSize0d1Carring_competition_0d1"
9 0.09306728 "mins" "params_EndSize0d1Carring_competition_0d1"
10 0.159208 "mins" "params_EndSize0d1Carring_competition_0d1"
11 0.1791944 "mins" "params_EndSize0d1Carring_competition_0d1"
12 0.1506949 "mins" "params_EndSize0d1Carring_competition_0d1"
13 0.09594711 "mins" "params_EndSize0d1Carring_competition_0d1"
14 0.1498596 "mins" "params_EndSize0d1Carring_competition_0d1"
15 0.121444 "mins" "params_EndSize0d1Carring_competition_0d1"
16 0.1480641 "mins" "params_EndSize0d1Carring_competition_0d1"
17 0.1052013 "mins" "params_EndSize0d1Carring_competition_0d1"
18 0.1504739 "mins" "params_EndSize0d1Carring_competition_0d1"
19 0.06974046 "mins" "params_EndSize0d1Carring_competition_0d1"
20 0.1178952 "mins" "params_EndSize0d1Carring_competition_0d1"
21 0.117734 "mins" "params_EndSize0d1Carring_competition_0d1"
22 0.08293893 "mins" "params_EndSize0d1Carring_competition_0d1"
23 0.09655009 "mins" "params_EndSize0d1Carring_competition_0d1"
24 0.1110098 "mins" "params_EndSize0d1Carring_competition_0d1"
25 0.1494543 "mins" "params_EndSize0d1Carring_competition_0d1"
26 0.1044481 "mins" "params_EndSize0d1Carring_competition_0d1"
27 0.08235263 "mins" "params_EndSize0d1Carring_competition_0d1"
28 0.1526697 "mins" "params_EndSize0d1Carring_competition_0d1"
29 0.1252149 "mins" "params_EndSize0d1Carring_competition_0d1"
30 0.1001121 "mins" "params_EndSize0d1Carring_competition_0d1"
31 0.158032 "mins" "params_EndSize0d1Carring_competition_0d1"
32 0.161047 "mins" "params_EndSize0d1Carring_competition_0d1"
33 0.1113939 "mins" "params_EndSize0d1Carring_competition_0d1"
34 0.1239163 "mins" "params_EndSize0d1Carring_competition_0d1"
35 0.08240191 "mins" "params_EndSize0d1Carring_competition_0d1"
